Day,CASENO,OFFENSE,CVLEGEND,BLKADDR,EVENTDTTM,Latitude,Longitude
Tuesday,17024785,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1800 THOUSAND OAKS BLVD,05/02/2017 12:00:00 AM 17:00,37.897393, -122.28115
Tuesday,17035471,ASSAULT/BATTERY MISD.,ASSAULT,2700 SHATTUCK AVE,06/20/2017 12:00:00 AM 10:38,37.859802, -122.267177
Tuesday,17017278,THEFT MISD. (UNDER $950),LARCENY,M L KING JR WAY & CEDAR ST,03/28/2017 12:00:00 AM 11:24,Berkeley, CA
Tuesday,17020258,THEFT MISD. (UNDER $950),LARCENY,SAN PABLO AVENUE & DELAWARE ST,04/11/2017 12:00:00 AM 15:30,37.871689, -122.292898
Tuesday,17037072,BURGLARY AUTO,BURGLARY - VEHICLE,,06/20/2017 12:00:00 AM 08:00,37.869058, -122.270455
Tuesday,17046410,BURGLARY AUTO,BURGLARY - VEHICLE,2300 COLLEGE AVE,08/08/2017 12:00:00 AM 13:30,37.868957, -122.254552
Tuesday,17090803,BURGLARY AUTO,BURGLARY - VEHICLE,2300 BANCROFT,03/28/2017 12:00:00 AM 07:10,37.868199, -122.263253
Tuesday,17018850,BURGLARY AUTO,BURGLARY - VEHICLE,WEBSTER STREET & TELEGRAPH AVE,04/04/2017 12:00:00 AM 23:00,37.855199, -122.259768
Tuesday,17091296,THEFT MISD. (UNDER $950),LARCENY,2200 DERBY ST,07/04/2017 12:00:00 AM 19:00,37.860687, -122.26454
Tuesday,17042158,BURGLARY AUTO,BURGLARY - VEHICLE,900 PARKER ST,07/18/2017 12:00:00 AM 15:00,37.858455, -122.293374
Tuesday,17020088,ASSAULT/BATTERY MISD.,ASSAULT,,04/11/2017 12:00:00 AM 09:25,37.869058, -122.270455
Tuesday,17091441,VANDALISM,VANDALISM,2300 FOURTH ST,07/25/2017 12:00:00 AM 15:30,37.862844, -122.298368
Tuesday,17091512,BURGLARY AUTO,BURGLARY - VEHICLE,100 SEAWALL DR,08/01/2017 12:00:00 AM 19:00,37.863611, -122.317566
Tuesday,17036053,FRAUD/FORGERY,FRAUD,600 WILDCAT CANYON RD,06/20/2017 12:00:00 AM 16:30,37.90344, -122.263662
Tuesday,17041859,ASSAULT/BATTERY MISD.,ASSAULT,1000 UNIVERSITY AVE,07/18/2017 12:00:00 AM 22:22,37.868641, -122.29415
Tuesday,17043053,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1600 SPRUCE ST,07/18/2017 12:00:00 AM 17:00,37.878864, -122.265718
Tuesday,17012845,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,DWIGHT WAY & SACRAMENTO ST,03/07/2017 12:00:00 AM 17:45,37.862178, -122.281204
Tuesday,17020108,DOMESTIC VIOLENCE,FAMILY OFFENSE,2100 PRINCE ST,04/11/2017 12:00:00 AM 10:45,37.8531, -122.266131
Tuesday,17018709,ASSAULT/BATTERY MISD.,ASSAULT,2100 SHATTUCK AVE,03/14/2017 12:00:00 AM 11:38,37.871167, -122.268285
Tuesday,17021834,THEFT MISD. (UNDER $950),LARCENY,2800 KELSEY ST,04/18/2017 12:00:00 AM 19:00,37.85988, -122.250176
Tuesday,17034376,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1100 EASTSHORE HWY,06/13/2017 12:00:00 AM 14:00,37.885683, -122.308114
Tuesday,17046347,ROBBERY,ROBBERY,2300 SHATTUCK AVE,08/08/2017 12:00:00 AM 09:42,37.867176, -122.267802
Tuesday,17040227,BURGLARY AUTO,BURGLARY - VEHICLE,3000 TELEGRAPH AVE,07/11/2017 12:00:00 AM 17:30,37.855435, -122.259841
Tuesday,17015752,BURGLARY AUTO,BURGLARY - VEHICLE,1000 GILMAN ST,03/21/2017 12:00:00 AM 12:30,37.88015, -122.297446
Tuesday,17038752,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1100 CRAGMONT AVE,07/04/2017 12:00:00 AM 23:00,37.890274, -122.260794
Tuesday,17048413,FRAUD/FORGERY,FRAUD,1800 UNIVERSITY AVE,08/15/2017 12:00:00 AM 16:04,37.871246, -122.274991
Tuesday,17029316,NARCOTICS,DRUG VIOLATION,2400 ASHBY AVE,05/23/2017 12:00:00 AM 21:36,37.856111, -122.260248
Tuesday,17091180,THEFT MISD. (UNDER $950),LARCENY,1100 VIRGINIA ST,05/09/2017 12:00:00 AM 16:00,37.873455, -122.293465
Tuesday,17030873,THEFT MISD. (UNDER $950),LARCENY,1300 SAN PABLO AVE,05/30/2017 12:00:00 AM 19:00,37.880262, -122.295809
Tuesday,17045189,THEFT FROM AUTO,LARCENY - FROM VEHICLE,KITTREDGE STREET & MILVIA ST,08/01/2017 12:00:00 AM 17:00,37.868164, -122.270363
Tuesday,17027778,FRAUD/FORGERY,FRAUD,SECOND STREET & UNIVERSITY AVE,05/16/2017 12:00:00 AM 09:00,37.866981, -122.302083
Tuesday,17048105,BURGLARY AUTO,BURGLARY - VEHICLE,2300 DURANT AVE,08/15/2017 12:00:00 AM 22:22,37.867259, -122.26324
Tuesday,17033994,DISTURBANCE,DISORDERLY CONDUCT,2300 MCKINLEY AVE,06/13/2017 12:00:00 AM 12:00,37.866842, -122.27366
Tuesday,17014431,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2500 BUENA VISTA WAY,03/14/2017 12:00:00 AM 10:20,37.880458, -122.261293
Tuesday,17090881,VANDALISM,VANDALISM,2700 SAN PABLO AVENUE 409,04/11/2017 12:00:00 AM 08:00,37.857743, -122.288545
Tuesday,17029161,DOMESTIC VIOLENCE,FAMILY OFFENSE,1900 CENTER ST,05/23/2017 12:00:00 AM 09:00,37.869685, -122.272804
Tuesday,17091579,BURGLARY AUTO,BURGLARY - VEHICLE,2300 HOWE ST,08/08/2017 12:00:00 AM 22:00,37.856902, -122.261236
Tuesday,17044869,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1700 FIFTH ST,08/01/2017 12:00:00 AM 17:00,37.87154, -122.300044
Tuesday,17046559,BURGLARY AUTO,BURGLARY - VEHICLE,200 MARINA BLVD,08/08/2017 12:00:00 AM 20:00,37.868667, -122.313656
Tuesday,17091334,BURGLARY AUTO,BURGLARY - VEHICLE,2500 CHANNING WAY,07/11/2017 12:00:00 AM 16:30,37.866919, -122.258812
Tuesday,17044698,BURGLARY AUTO,BURGLARY - VEHICLE,"37.8532107497425000, -122.2971447295600000",08/01/2017 12:00:00 AM 09:15,Berkeley, CA
Tuesday,17026247,NARCOTICS,DRUG VIOLATION,1000 GILMAN ST,05/09/2017 12:00:00 AM 18:32,37.88015, -122.297446
Tuesday,17091088,THEFT FELONY (OVER $950),LARCENY,2100 NINTH ST,06/06/2017 12:00:00 AM 21:00,37.867317, -122.293982
Tuesday,17018776,BURGLARY AUTO,BURGLARY - VEHICLE,HAROLD WAY & ALLSTON WAY,04/04/2017 12:00:00 AM 17:15,37.8692, -122.269308
Tuesday,17017269,ASSAULT/BATTERY MISD.,ASSAULT,2900 SAN PABLO AVE,03/28/2017 12:00:00 AM 10:00,37.853576, -122.287202
Tuesday,17018778,DISTURBANCE,DISORDERLY CONDUCT,CHANNING WAY & SHATTUCK AVE,04/04/2017 12:00:00 AM 18:00,37.865791, -122.26751
Tuesday,17024508,NARCOTICS,DRUG VIOLATION,DWIGHT WAY & WARRING ST,05/02/2017 12:00:00 AM 00:42,37.8659, -122.251095
Tuesday,17029207,BURGLARY AUTO,BURGLARY - VEHICLE,2100 CHANNING WAY,05/23/2017 12:00:00 AM 12:30,37.865826, -122.267244
Tuesday,17041740,THEFT MISD. (UNDER $950),LARCENY,2300 TELEGRAPH AVE,05/30/2017 12:00:00 AM 16:18,37.868714, -122.259189
Tuesday,17046488,THEFT MISD. (UNDER $950),LARCENY,2400 TELEGRAPH AVE,08/08/2017 12:00:00 AM 21:29,37.866761, -122.258779
Tuesday,17045963,THEFT MISD. (UNDER $950),LARCENY,1800 CURTIS ST,08/01/2017 12:00:00 AM 14:00,37.872104, -122.289812
Tuesday,17037971,DISTURBANCE,DISORDERLY CONDUCT,2400 EIGHTH ST,06/27/2017 12:00:00 AM 21:00,37.862184, -122.293517
Tuesday,17040193,THEFT MISD. (UNDER $950),LARCENY,2300 TELEGRAPH AVE,07/11/2017 12:00:00 AM 16:12,37.868714, -122.259189
Tuesday,17038690,SEXUAL ASSAULT FEL.,SEX CRIME,2300 CHANNING WAY,07/04/2017 12:00:00 AM 15:30,37.866327, -122.263359
Tuesday,17016417,THEFT MISD. (UNDER $950),LARCENY,1300 FRANCISCO ST,03/21/2017 12:00:00 AM 00:10,37.873351, -122.287274
Tuesday,17091448,BURGLARY AUTO,BURGLARY - VEHICLE,1300 FOURTH ST,07/25/2017 12:00:00 AM 18:50,37.878644, -122.303432
Tuesday,17090597,THEFT FELONY (OVER $950),LARCENY,2120 UNIVERSITY AVE,03/21/2017 12:00:00 AM 13:05,37.87221, -122.267546
Tuesday,17026183,THEFT FROM PERSON,LARCENY,2000 OREGON ST,05/09/2017 12:00:00 AM 12:47,37.857409, -122.268473
Tuesday,17091346,BURGLARY AUTO,BURGLARY - VEHICLE,2700 DWIGHT WAY,07/11/2017 12:00:00 AM 23:10,37.865748, -122.253396
Tuesday,17090543,BURGLARY AUTO,BURGLARY - VEHICLE,2600 RUSSELL ST,03/14/2017 12:00:00 AM 01:30,37.858165, -122.255687
Tuesday,17049592,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,SIXTY-THIRD STREET & BAKER ST,08/22/2017 12:00:00 AM 13:43,Berkeley, CA
Tuesday,17040207,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2700 DURANT AVE,07/11/2017 12:00:00 AM 17:30,37.868352, -122.254459
Tuesday,17037109,BURGLARY AUTO,BURGLARY - VEHICLE,2300 FOURTH ST,06/27/2017 12:00:00 AM 13:00,37.862844, -122.298368
Tuesday,17019327,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1000 GRAYSON ST,04/04/2017 12:00:00 AM 18:00,37.855748, -122.290281
Tuesday,17043299,ASSAULT/BATTERY MISD.,ASSAULT,1000 DELAWARE ST,07/25/2017 12:00:00 AM 16:00,37.871271, -122.295015
Tuesday,17030930,ROBBERY,ROBBERY,2000 DELAWARE ST,05/30/2017 12:00:00 AM 22:25,37.874489, -122.271072
Tuesday,17090780,BURGLARY AUTO,BURGLARY - VEHICLE,2300 DWIGHT WAY,04/18/2017 12:00:00 AM 18:00,37.864535, -122.262993
Tuesday,17091313,BURGLARY AUTO,BURGLARY - VEHICLE,2200 FULTON ST,07/04/2017 12:00:00 AM 14:00,37.868706, -122.266279
